#Id|Instrument Name |Type|Band       |Telescope         |Homepage                                                                                                            |Remarks                                                                                                                                                                                 |Last Modified|Modified By
74 |Hydra           |spec|optical    |WIYN              |http://www.wiyn.org/instrument/                                                                                     |multi-object spectrometer                                                                                                                                                               |2011-07-07   |admin      
75 |IMACS           |both|optical    |Magellan-Baade    |http://www.lco.cl/telescopes-information/magellan/telescopes-information/magellan/instruments/                      |The Inamori Magellan Areal Camera and Spectrograph                                                                                                                                      |2011-07-07   |admin      
76 |FORS1-UT2       |spec|optical    |VLT-UT2           |http://www.eso.org/public/teles-instr/vlt/vlt-instr.html                                                            |                                                                                                                                                                                        |2011-07-07   |admin      
77 |CCD             |spec|optical    |BAO-0.85m         |                                                                                                                    |                                                                                                                                                                                        |2011-07-07   |admin      
78 |LDSS-3          |spec|optical    |Magellan-Clay     |http://www.lco.cl/telescopes-information/magellan/instruments/ldss-3                                                |                                                                                                                                                                                        |2012-03-29   |admin      
79 |PNS             |spec|uv+optical |Crossley          |                                                                                                                    |Prismatic Nebula Spectrograph                                                                                                                                                           |2014-11-11   |admin      
80 |Cassegrain      |spec|optical    |BAO-2.16m         |https://arxiv.org/pdf/1605.09166v1.pdf                                                                              |OMR                                                                                                                                                                                     |2016-12-04   |ilanm      
81 |PMAS            |spec|optical    |CA-3.5m           |http://www.caha.es/telescopes-overview-and-instruments-manuals.html                                                 |Potsdam MultiAperture Spectrophotometer                                                                                                                                                 |2011-08-02   |raph       
82 |HIRES           |spec|optical    |Keck1             |http://www2.keck.hawaii.edu/inst/hires/                                                                             |High Resolution Echelle Spectrometer                                                                                                                                                    |2011-08-03   |assaf      
83 |STIS            |both|uv+optical |HST               |http://www.stsci.edu/hst/stis                                                                                       |Space Telescope Imaging Spectrograph                                                                                                                                                    |2011-08-07   |admin      
84 |MIKE            |spec|optical    |Magellan-Clay     |http://www.lco.cl/telescopes-information/magellan/instruments/mike                                                  |                                                                                                                                                                                        |2011-08-11   |assaf      
85 |MARK III        |spec|optical    |MDM-2.4           |http://mdm.kpno.noao.edu/Manuals/MkIII.html                                                                         |                                                                                                                                                                                        |2011-08-11   |raph       
86 |LORAL           |spec|uv+optical |CTIO-1.5m         |                                                                                                                    |Cassegrain Spectrograph LORAL                                                                                                                                                           |2014-11-11   |admin      
87 |IR-Spec         |spec|ir         |CTIO-4m           |http://www.ctio.noao.edu/instruments/ir_instruments/irs/irs.manual/irs4.html                                        |Infrared Spectrograph                                                                                                                                                                   |2014-11-11   |admin      
88 |CASS-DI         |spec|optical+nir|CTIO-0.9          |http://www.noao.edu/noao/noaonews/mar99/node23.html                                                                 |CASS Direct Imaging                                                                                                                                                                     |2014-11-11   |admin      
89 |ES2             |spec|optical+nir|Harlan J Smith    |http://www.as.utexas.edu/mcdonald/facilities/2.1m/es2.html                                                          |ES2 - McDonald's Cassegrain Spectrograph                                                                                                                                                |2014-11-11   |admin      
91 |LCS             |spec|uv+optical |Harlan J Smith    |http://www.as.utexas.edu/mcdonald/facilities/2.7m/lcsA.html                                                         |Large Cassegrain Spectrograph                                                                                                                                                           |2011-08-22   |admin      
92 |IGS             |both|optical    |Otto Struve       |                                                                                                                    |                                                                                                                                                                                        |2011-08-16   |adam       
93 |AVI             |spec|optical+nir|Galileo           |                                                                                                                    |Automatic Virtual Instrument                                                                                                                                                            |2014-11-11   |admin      
94 |IUE             |spec|uv         |IUE               |http://archive.stsci.edu/iue/instrument.html                                                                        |                                                                                                                                                                                        |2011-08-18   |adam       
95 |FRODOspec       |spec|optical    |LT                |                                                                                                                    |                                                                                                                                                                                        |2011-09-13   |iair       
