# sample xephem sites file.
#
# The format of this file is compatable with the xsat program and the
# cities included here are from the sample included therewith. Xsat included
# the following notice:
#
#   Copyright 1992 by David A. Curry
#
#   Permission to use, copy, modify, distribute, and sell this software and its
#   documentation for any purpose is hereby granted without fee, provided that
#   the above copyright notice appear in all copies and that both that copyright
#   notice and this permission notice appear in supporting documentation.  The
#   author makes no representations about the suitability of this software for
#   any purpose.  It is provided "as is" without express or implied warranty.
#
# Most of the observatory sites are transcribed, with permission, from the table
# beginning on page 28 in the July 1993 issue of Sky and Telescope. Any 
# descrepencies or unfaithful interpretations of the information provided
# therein are strictly the fault of the author of xephem.
#
# The following description of the format of this file is extracted from the
# xsat software. All lines not conforming to the following description are
# silently ignored.
#
# The first column contains the name of the site, up to the first semicolon.
#
# The second column gives the latitude of the city in degrees (DDD),
# minutes (MM), and seconds (SS), and a N or S to indicate north or
# south of the equator.  If you don't know the value for seconds,
# use "00".
#
# The third column gives the longitude of the city in degrees (DDD),
# minutes (MM), and seconds (SS), and a E or W to indicate east or
# west of the prime meridian in Greenwich, England.  If you don't
# know the value for seconds, use "00".
#
# The fourth column gives the elevation of the city in meters.  If you
# do not know your elevation, use a "-1.0".  This will throw the math
# off a bit, but should be usable unless you're on a mountain top.
#
# Information for cities in the United States is taken from the World
# Almanac, 1990.  Information for cities outside the United States is
# gleaned from the UUCP map database, and hence may or may not be
# correct.
#
# If your site is not listed in the table below, you can try consulting
# an atlas, almanac, or gazeteer for the information.  Or, you could
# call the local airport; they ought to know.
# 
# City, State or Country, or site name  ; Latitude      ; Longitude     ; Elev
#
Asheville, North Carolina               ;  35 35 42 N   ;  82 33 26 W   ; 605.0
Ashland, Kentucky                       ;  38 28 36 N   ;  82 38 23 W   ; 163.4
Astronomisches Inst. Univ. Obs.         ;  48 14  0 N   ;  16 20  0 E   ; 241
Astrophys. Research Consortium (ARC)    ;  32 47  0 N   ; 105 49  0 W   ;2800
Athens, Greece                          ;  37 58  0 N   ;  23 44  0 E   ;  91.4
Atlanta, Georgia                        ;  33 45 10 N   ;  84 23 37 W   ; 320.0
Atlantic City, New Jersey               ;  39 21 32 N   ;  74 25 53 W   ;   3.0
Augusta, Georgia                        ;  33 28 20 N   ;  81 58  0 W   ;  43.6
Augusta, Maine                          ;  44 18 53 N   ;  69 46 29 W   ;  13.7
Austin, Texas                           ;  30 16  9 N   ;  97 44 37 W   ; 153.9
Bakersfield, California                 ;  35 22 31 N   ; 119  1 18 W   ; 121.9
Baltimore, Maryland                     ;  39 17 36 N   ;  76 36 45 W   ;   6.1
Bangkok, Thailand                       ;  13 44  0 N   ; 100 30  0 E   ;  -1.0
Bangor, Maine                           ;  44 48 13 N   ;  68 46 18 W   ;   6.1
Barcelona, Spain                        ;  41 23  0 N   ;  02  9  0 E   ;  -1.0
Baton Rouge, Louisiana                  ;  30 26 58 N   ;  91 11  0 W   ;  17.4
Battle Creek, Michigan                  ;  42 18 58 N   ;  85 10 48 W   ; 249.9
Batumi, Georgia                         ;  43 40  0 N   ;  40  0  0 E   ;  -1.0
Bay City, Michigan                      ;  43 36  4 N   ;  83 53 15 W   ; 181.4
Beaumont, Texas                         ;  30  5 20 N   ;  94  6  9 W   ;   6.1
Beijing, China                          ;  39 54  0 N   ; 116 28  0 E   ; 182.9
Belfast, Northern Ireland               ;  54 35  0 N   ;  05 50  0 W   ;  -1.0
Bellingham, Washington                  ;  48 45 34 N   ; 122 28 36 W   ;  18.3
Bentley WA, Australia                   ;  31 58 43 S   ; 115 48 55 E   ;  -1.0
Berkeley, California                    ;  37 52 10 N   ; 122 16 17 W   ;  12.2
Berlin, Germany                         ;  52 32  0 N   ;  13 25  0 E   ;  33.5
Bethlehem, Pennsylvania                 ;  40 37 16 N   ;  75 22 34 W   ;  71.6
Billings, Montana                       ;  45 47  0 N   ; 108 30  4 W   ; 951.0
Biloxi, Mississippi                     ;  30 23 48 N   ;  88 53  0 W   ;   6.1
Binghamton, New York                    ;  42  6  3 N   ;  75 54 47 W   ; 263.7
Birmingham, Alabama                     ;  33 31  1 N   ;  86 48 36 W   ; 182.9
Bismarck, North Dakota                  ;  46 48 23 N   ; 100 47 17 W   ; 510.2
Bloomington, Illinois                   ;  40 28 58 N   ;  88 59 36 W   ; 243.8
Bogota, Columbia                        ;  04 38  0 N   ;  74  5  0 W   ;  -1.0
Boise, Idaho                            ;  43 37  7 N   ; 116 11 58 W   ; 824.2
Bombay, India                           ;  19  5  3 N   ;  72 51  3 E   ;  -1.0
Bonn, Germany                           ;  50 40  0 N   ;  07  6  0 E   ;  50.0
Boston, Massachusetts                   ;  42 21 24 N   ;  71  3 25 W   ;   6.4
Bowling Green, Kentucky                 ;  36 59 41 N   ;  86 26 33 W   ; 155.4
Bratislava, Slovak Republic             ;  48 10  0 N   ;  17  7  0 E   ;  -1.0
Brattleboro, Vermont                    ;  42 51  6 N   ;  72 33 48 W   ;  91.4
Bridgeport, Connecticut                 ;  41 10 49 N   ;  73 11 22 W   ;   3.0
Brisbane Qld, Australia                 ;  27 30  0 S   ; 153  0  0 E   ;  -1.0
Brockton, Massachusetts                 ;  42  5  2 N   ;  71  1 25 W   ;  39.6
Brownsville, Texas                      ;  25 54  7 N   ;  97 29 58 W   ;  10.7
Brussels, Belgium                       ;  50 50 20 N   ;  04 38 12 E   ;  -1.0
Budapest, Hungary                       ;  47 30  0 N   ;  19  5  0 E   ;  -1.0
Buenos Aires, Argentina                 ;  34 34  0 S   ;  58  3  0 W   ;  -1.0
Buffalo, New York                       ;  42 52 52 N   ;  78 52 21 W   ; 178.3
Burlington, Vermont                     ;  44 28 34 N   ;  73 12 46 W   ;  33.5
Butte, Montana                          ;  46  1  6 N   ; 112 32 11 W   ;1757.2
Buxton, North Carolina			;  35 15 45 N	;  75 33 40 W	;   2.0
Byurakan Astrophysical Obs.             ;  40 20  0 N   ;  44 30  0 E   ;1450
Byurakan Observatory                    ;  40 20  0 N   ;  44 18  0 E   ;1500
Cairo, Egypt                            ;  31 15  0 N   ;  31  3  0 E   ;  -1.0
Calar Alto Observatory                  ;  37 13  0 N   ;   2 32  0 W   ;2168
Calar-Alto-Schmidtspiegel               ;  37 13  0 N   ;   2 32  0 W   ;2168
Cambridge, England                      ;  52 10  0 N   ;  00  6  0 E   ;  -1.0
Cambridge, Massachusetts                ;  42 22  1 N   ;  71  6 22 W   ;   6.1
Camden, New Jersey                      ;  39 56 41 N   ;  75  7 14 W   ;   9.1
Canada-France-Hawaii Tel. (CFHT)        ;  19 49 36 N   ; 155 28 18 W   ;4200
Canberra ACT, Australia                 ;  35 14 24 S   ; 149  7 12 E   ;  -1.0
Canton, Ohio                            ;  40 47 50 N   ;  81 22 37 W   ; 313.9
Capetown, South Africa                  ;  33 56  0 S   ;  18 22 15 E   ;  -1.0
Carson City, Nevada                     ;  39 10  0 N   ; 119 46  0 W   ;1426.5
Casey Observatory, AAT                  ;  66 12  0 S   ; 110 21  0 E   ;  -1
Catalina Observatory, Mt. Bigelow       ;  32 25  0 N   ; 110 43 54 W   ;2510
Cedar Rapids, Iowa                      ;  41 58  1 N   ;  91 39 53 W   ; 222.5
Central Islip, New York                 ;  40 47 24 N   ;  73 12  0 W   ;  24.4
Cerro Tololo Inter-American Obs.        ;  30  9 54 S   ;  70 48 54 W   ;2215
Champaign, Illinois                     ;  40  7  5 N   ;  88 14 48 W   ; 225.6
Charleston, South Carolina              ;  32 46 35 N   ;  79 55 53 W   ;   2.7
Charleston, West Virginia               ;  38 21  1 N   ;  81 37 52 W   ; 183.2
Charlotte, North Carolina               ;  35 13 44 N   ;  80 50 45 W   ; 219.5
