# sample xephem sites file.
#
# The format of this file is compatable with the xsat program and the
# cities included here are from the sample included therewith. Xsat included
# the following notice:
#
#   Copyright 1992 by David A. Curry
#
#   Permission to use, copy, modify, distribute, and sell this software and its
#   documentation for any purpose is hereby granted without fee, provided that
#   the above copyright notice appear in all copies and that both that copyright
#   notice and this permission notice appear in supporting documentation.  The
#   author makes no representations about the suitability of this software for
#   any purpose.  It is provided "as is" without express or implied warranty.
#
# Most of the observatory sites are transcribed, with permission, from the table
# beginning on page 28 in the July 1993 issue of Sky and Telescope. Any 
# descrepencies or unfaithful interpretations of the information provided
# therein are strictly the fault of the author of xephem.
#
# The following description of the format of this file is extracted from the
# xsat software. All lines not conforming to the following description are
# silently ignored.
#
# The first column contains the name of the site, up to the first semicolon.
#
# The second column gives the latitude of the city in degrees (DDD),
# minutes (MM), and seconds (SS), and a N or S to indicate north or
# south of the equator.  If you don't know the value for seconds,
# use "00".
#
# The third column gives the longitude of the city in degrees (DDD),
# minutes (MM), and seconds (SS), and a E or W to indicate east or
# west of the prime meridian in Greenwich, England.  If you don't
# know the value for seconds, use "00".
#
# The fourth column gives the elevation of the city in meters.  If you
# do not know your elevation, use a "-1.0".  This will throw the math
# off a bit, but should be usable unless you're on a mountain top.
#
# Information for cities in the United States is taken from the World
# Almanac, 1990.  Information for cities outside the United States is
# gleaned from the UUCP map database, and hence may or may not be
# correct.
#
# If your site is not listed in the table below, you can try consulting
# an atlas, almanac, or gazeteer for the information.  Or, you could
# call the local airport; they ought to know.
# 
# City, State or Country, or site name  ; Latitude      ; Longitude     ; Elev
#
Leander McCormick Observatory           ;  38  2  0 N   ;  78 31  0 W   ; 264
Learmonth Solar Observatory             ;  22 14  0 S   ; 114  5  0 E   ;   20
St. Petersburg, Russia                  ;  59 55  0 N   ;  30 15  0 E   ;  -1.0
Lexington, Kentucky                     ;  38  2 50 N   ;  84 29 46 W   ; 291.1
Lick Observatory                        ;  37 21  0 N   ; 121 38  0 W   ;1290
Lick Observatory (36-inch)              ;  37 20  0 N   ; 121 39  0 W   ;1290
Lima, Ohio                              ;  40 44 35 N   ;  84  6 20 W   ; 263.7
Lincoln, Nebraska                       ;  40 48 59 N   ;  96 42 15 W   ; 350.5
Lisbon, Portugal                        ;  38 43  0 N   ;  09  8  0 W   ;  -1.0
Little Rock, Arkansas                   ;  34 44 42 N   ;  92 16 37 W   ;  87.2
London, England                         ;  51 30 30 N   ;  00 11  0 W   ;  -1.0
Long Beach, California                  ;  33 46 14 N   ; 118 11 18 W   ;  10.7
Lorain, Ohio                            ;  41 28  5 N   ;  82 10 49 W   ; 185.9
Los Angeles, California                 ;  34  3 15 N   ; 118 14 28 W   ; 103.6
Louisville, Kentucky                    ;  38 14 47 N   ;  85 45 49 W   ; 137.2
Lowell, Massachusetts                   ;  42 38 25 N   ;  71 19 14 W   ;  30.5
Lubbock, Texas                          ;  33 35  5 N   ; 101 50 33 W   ; 973.8
Lund, Sweden                            ;  55 69  0 N   ;  13 18  0 E   ;  -1.0
Luxembourg, Luxembourg                  ;  49 37  0 N   ;  06  9  0 E   ;  -1.0
MMT                                     ;  31 41  0 N   ; 110 53  0 W   ;2608
Macon, Georgia                          ;  32 50 12 N   ;  83 37 36 W   ; 102.1
Macquarie Island, AAT                   ;  54 30  0 S   ; 158 57  0 E   ;  -1
Madison, Wisconsin                      ;  43  4 23 N   ;  89 22 55 W   ; 262.1
Madrid, Spain                           ;  40 25  0 N   ;  03 42  0 W   ;  -1.0
Managua, Nicaragua                      ;  13 16  0 N   ;  87 40  0 W   ;  -1.0
Manchester, New Hampshire               ;  42 59 26 N   ;  71 27 41 W   ;  53.3
Marshall, Texas                         ;  32 33  0 N   ;  94 23  0 W   ; 125.0
Mauna Kea Observatory (NASA IRTF)       ;  19 50  0 N   ; 155 28  0 W   ;4208
Mawson Observatory, AAT                 ;  67 36  0 S   ;  62 53  0 E   ;  -1
McDonald Observatory                    ;  30 40 18 N   ; 104  1 18 W   ;2075
Melbourne Vic, Australia                ;  37 48  0 S   ; 144 58  0 E   ;  -1.0
Memphis, Tennessee                      ;  35  8 46 N   ;  90  3 13 W   ;  83.8
Meriden, Connecticut                    ;  41 32  6 N   ;  72 47 30 W   ;  57.9
Miami, Florida                          ;  25 46 37 N   ;  80 11 32 W   ;   3.0
Michigan-Dartmouth-MIT Obs.             ;  31 57  0 N   ; 111 37  0 W   ;1938
Milano, Italy                           ;  45 26 35 N   ;  09 11  9 E   ;  -1.0
Milwaukee, Wisconsin                    ;  43  2 19 N   ;  87 54 15 W   ; 193.5
Minneapolis, Minnesota                  ;  44 58 57 N   ;  93 15 43 W   ; 248.4
Minot, North Dakota                     ;  48 14  9 N   ; 101 17 38 W   ; 472.4
Mobile, Alabama                         ;  30 41 36 N   ;  88  2 33 W   ;   1.5
Moline, Illinois                        ;  41 30 31 N   ;  90 30 49 W   ; 178.3
Montgomery, Alabama                     ;  32 22 33 N   ;  86 18 31 W   ;  48.8
Montpelier, Vermont                     ;  44 15 36 N   ;  72 34 41 W   ; 147.8
Montreal Quebec, Canada                 ;  45 30 24 N   ;  73 34  2 W   ;  -1.0
Moratuwa, Sri Lanka                     ;  06 45  0 N   ;  79 55  0 E   ;  -1.0
Moscow, Russia                          ;  55 45  0 N   ;  37 42  0 E   ; 120.1
Mount Wilson Observatory                ;  34 13  0 N   ; 118  3  0 W   ;1742
Mt. Stromlo Observatory                 ;  35 19 15 S   ; 149  1 28 E   ; 767
Multiple Mirrow Telescope Obs.          ;  31 41  0 N   ; 110 53  0 W   ;2608
Muncie, Indiana                         ;  40 11 28 N   ;  85 23 16 W   ; 289.6
Munich, Germany                         ;  48 14  0 N   ;  11 57  0 E   ; 523
Nashville, Tennessee                    ;  36  9 33 N   ;  86 46 55 W   ; 137.2
Natchez, Mississippi                    ;  31 33 48 N   ;  91 23 30 W   ;  64.0
National Astronomy Obs. (Japan)         ;  19 49  0 N   ; 155 28  0 W   ;4215
New Bedford, Massachusetts              ;  41 38 13 N   ;  70 55 41 W   ;   4.6
New Britain, Connecticut                ;  41 40  8 N   ;  72 46 59 W   ;  61.0
New Delhi, India                        ;  28 38  0 N   ;  77 12  0 E   ; 234.7
New Haven, Connecticut                  ;  41 18 25 N   ;  72 55 30 W   ;  12.2
New Orleans, Louisiana                  ;  29 56 53 N   ;  90  4 10 W   ;   1.5
New York, New York                      ;  40 45  6 N   ;  73 59 39 W   ;  16.8
Newark, New Jersey                      ;  40 44 14 N   ;  74 10 19 W   ;  16.8
Newcastle NSW, Australia                ;  32 52  0 S   ; 151 49  0 E   ;  -1.0
Niagara Falls, New York                 ;  43  5 34 N   ;  79  3 26 W   ; 173.7
Nordic Optical Telescope                ;  28 45  0 N   ;  17 53  0 W   ;2382
Norfolk, Virginia                       ;  36 51 10 N   ;  76 17 21 W   ;   3.0
North Liberty Radio Observatory		;  41 46 17 N	;  91 34 26 W	; 240.0
OAB, Brera  (MI), Italy                 ;  45 27 59 N   ;   9 11 30 E   ;  147
OAB, Merate (LC), Italy                 ;  45 41 54 N   ;   9 25 45 E   ;  334
Oakland, California                     ;  37 48  3 N   ; 122 15 54 W   ;   7.6
Obs. Astro. Nacional, San Pedro Martir  ;  31  1 45 N   ; 115 29 12 W   ;2830
Obs. Astro. Nacional, Tonantzintla      ;  19  1 58 N   ;  98 18 50 W   ;  -1
Observatoire Royal de Belgique          ;  50 48  0 N   ;   4 21  0 E   ; 105
Observatoire de Calern                  ;  43 45  0 N   ;   6 56  0 W   ;1270
Observatoire de Nice                    ;  43 43  0 N   ;   7 18  0 E   ; 372
Observatoire de Paris                   ;  48 48  0 N   ;   2 14  0 E   ; 162
Ogden, Utah                             ;  41 13 31 N   ; 111 58 21 W   ;1309.1
Oklahoma City, Oklahoma                 ;  35 28 26 N   ;  97 31  4 W   ; 364.2
Old Royal Observatory                   ;  51 29  0 N   ;   0  0  0 W   ;  47
Omaha, Nebraska                         ;  41 15 42 N   ;  95 56 14 W   ; 317.0
Orlando, Florida                        ;  28 32 42 N   ;  81 22 38 W   ;  21.3
Oschin 48-inch Telescope                ;  33 21  0 N   ; 116 51  0 W   ;1706
Oslo, Norway                            ;  59 55  0 N   ;  10 45  0 E   ;  -1.0
Ottawa Ontario, Canada                  ;  45 24  0 N   ;  75 39  0 W   ;  -1.0
Paducah, Kentucky                       ;  37  5 13 N   ;  88 25 56 W   ; 105.2
Palomar Observatory (200 inch)          ;  33 21  0 N   ; 116 52  0 W   ;1706
Paris, France                           ;  48 50 14 N   ;  02 20 14 E   ;  91.4
Parkes Radiotelescope, Australia        ;  33  0  0 S   ; 148 15 42 E   ; 300
Pasadena, California                    ;  34  8 44 N   ; 118  8 41 W   ; 253.0
Paterson, New Jersey                    ;  40 55  1 N   ;  74 10 21 W   ;  30.5
Pensacola, Florida                      ;  30 24 51 N   ;  87 12 56 W   ;   4.6
Peoria, Illinois                        ;  40 41 42 N   ;  89 35 33 W   ; 143.3
Perth, WA, Australia                    ;  31 56 29 S   ; 115 57 55 E   ;   67
Philadelphia, Pennsylvania              ;  39 56 58 N   ;  75  9 21 W   ;  30.5
Phoenix, Arizona                        ;  33 27 12 N   ; 112  4 28 W   ; 332.2
Pierre, South Dakota                    ;  44 22 18 N   ; 100 20 54 W   ; 451.1
Pittsburgh, Pennsylvania                ;  40 29 19 N   ;  80  0  0 W   ; 227.1
Pittsfield, Massachusetts               ;  42 26 53 N   ;  73 15 14 W   ; 309.4
Pocatello, Idaho                        ;  42 51 38 N   ; 112 27  1 W   ;1359.4
Port Arthur, Texas                      ;  29 52 30 N   ;  93 56 15 W   ;   3.0
Portland, Maine                         ;  43 39 33 N   ;  70 15 19 W   ;   7.6
Portland, Oregon                        ;  45 31  6 N   ; 122 40 35 W   ;  23.5
Portsmouth, New Hampshire               ;  43  4 30 N   ;  70 45 24 W   ;   6.1
Portsmouth, Virginia                    ;  36 50  7 N   ;  76 18 14 W   ;   3.0
Prague, Czech Republic                  ;  50  5  0 N   ;  14 24  0 E   ;  -1.0
Pretoria, South Africa                  ;  26 10  0 S   ;  28  2  0 E   ;  -1.0
Providence, Rhode Island                ;  41 49 32 N   ;  71 24 41 W   ;  24.4
Provo, Utah                             ;  40 14  6 N   ; 111 39 24 W   ;1386.8
Pueblo, Colorado                        ;  38 16 17 N   ; 104 36 33 W   ;1429.5
Racine, Wisconsin                       ;  42 43 49 N   ;  87 47 12 W   ; 192.0
Radioastrophysical Observatory          ;  56 47  0 N   ;  24 24  0 E   ;  75
Raleigh, North Carolina                 ;  35 46 38 N   ;  78 38 21 W   ; 111.3
Rapid City, South Dakota                ;  44  4 52 N   ; 103 13 11 W   ; 984.5
Reading, Pennsylvania                   ;  40 20  9 N   ;  75 55 40 W   ;  80.8
Reno, Nevada                            ;  39 31 27 N   ; 119 48 40 W   ;1368.6
Reykjavik, Iceland                      ;  64  7 47 N   ;  21 56 13 W   ;  -1.0
Richmond, Virginia                      ;  37 32 15 N   ;  77 26  9 W   ;  48.8
Rio de Janeiro, Brazil                  ;  22 53 43 S   ;  43 13 22 W   ;   9.1
Roanoke, Virginia                       ;  37 16 13 N   ;  79 56 44 W   ; 275.8
Rochester, Minnesota                    ;  44  1 21 N   ;  92 28  3 W   ; 301.8
Rochester, New York                     ;  43  9 41 N   ;  77 36 21 W   ; 157.0
Rockford, Illinois                      ;  42 16  7 N   ;  89  5 48 W   ; 217.9
Rome, Italy                             ;  41 53  0 N   ;  12 30  0 E   ;  29.0
Roque de los Muchachos, La Palma        ;  28 45 30 N   ;  17 52 48 W   ;2327
Royal Greenwich Observatory             ;  50 52  0 N   ;   0 20  0 E   ;  34
Sacramento, California                  ;  38 34 57 N   ; 121 29 41 W   ;   9.1
Saginaw, Michigan                       ;  43 25 52 N   ;  83 56  5 W   ; 181.4
Saint Cloud, Minnesota                  ;  45 34  0 N   ;  94 10 24 W   ; 317.0
Saint Joseph, Missouri                  ;  39 45 57 N   ;  94 51  2 W   ; 259.1
Saint Louis, Missouri                   ;  38 37 45 N   ;  90 12 22 W   ; 138.7
Saint Lucia Qld, Australia              ;  27 30  2 S   ; 153  0 41 E   ;  -1.0
Saint Paul, Minnesota                   ;  44 57 19 N   ;  93  6  7 W   ; 237.7
Saint Petersburg, Florida               ;  27 46 18 N   ;  82 38 19 W   ;   6.1
Salem, Oregon                           ;  44 56 24 N   ; 123  1 59 W   ;  47.2
Salina, Kansas                          ;  38 50 36 N   ;  97 36 46 W   ; 374.6
Salt Lake City, Utah                    ;  40 45 23 N   ; 111 53 26 W   ;1338.1
Salzburg, Austria                       ;  48  3  0 N   ;  16 37  0 E   ;  -1.0
San Angelo, Texas                       ;  31 27 39 N   ; 100 26  3 W   ; 562.4
San Antonio, Texas                      ;  29 25 37 N   ;  98 29  6 W   ; 198.1
San Bernardino, California              ;  34  6 30 N   ; 117 17 28 W   ; 329.2
San Diego, California                   ;  32 42 53 N   ; 117  9 21 W   ;   6.1
San Francisco, California               ;  37 46 39 N   ; 122 24 40 W   ;  19.8
San Juan, Puerto Rico                   ;  18 28  0 N   ;  66  7  0 W   ;  -1.0
San Jose, California                    ;  37 20 16 N   ; 121 53 24 W   ;  27.4
Santa Barbara, California               ;  34 25 18 N   ; 119 41 55 W   ;  30.5
Santa Cruz, California                  ;  36 58 18 N   ; 122  1 18 W   ;   6.1
Santa Fe, New Mexico                    ;  35 41 11 N   ; 105 56 10 W   ;2118.4
Santiago, Chile                         ;  33 27  0 S   ;  70 33  0 W   ;  -1.0
Santo Domingo, Dominican Republic       ;  18 30  0 N   ;  69 57  0 W   ;  -1.0
Sapporo, Japan                          ;  43  4  0 N   ; 141 20  0 E   ;  -1.0
Sarasota, Florida                       ;  27 20  5 N   ;  82 32 30 W   ;   6.1
Savannah, Georgia                       ;  32  4 42 N   ;  81  5 37 W   ;   6.1
Schenectady, New York                   ;  42 48 42 N   ;  73 55 42 W   ;  74.7
Scranton, Pennsylvania                  ;  41 24 32 N   ;  75 39 46 W   ; 221.0
Seattle, Washington                     ;  47 36 32 N   ; 122 20 12 W   ;   3.0
Sheboygan, Wisconsin                    ;  43 45  3 N   ;  87 42 52 W   ; 192.0
Sheridan, Wyoming                       ;  44 47 55 N   ; 106 57 10 W   ;1140.0
Shreveport, Louisiana                   ;  32 30 46 N   ;  93 44 58 W   ;  62.2
Siding Spring Observatory               ;  31 16 24 S   ; 149  3 41 E   ;1149
Singapore, Singapore                    ;  01 25  0 N   ; 103 50  0 E   ;  -1.0
Sioux City, Iowa                        ;  42 29 46 N   ;  96 24 30 W   ; 338.3
Sioux Falls, South Dakota               ;  43 32 35 N   ;  96 43 35 W   ; 425.2
Sofia, Bulgaria                         ;  42 40  0 N   ;  23 18  0 E   ;  -1.0
Somerville, Massachusetts               ;  42 23 15 N   ;  71  6  7 W   ;   4.0
South Bend, Indiana                     ;  41 40 33 N   ;  86 15  1 W   ; 216.4
Space Telescope Science Inst.           ;  39 18  0 N   ;  76 37  0 W   ; 6.1
Spartanburg, South Carolina             ;  34 57  3 N   ;  81 56  6 W   ; 266.7
Special Astrophysical Obs.              ;  43 39  0 N   ;  41 26  0 E   ;2100
Spokane, Washington                     ;  47 39 32 N   ; 117 25 33 W   ; 576.1
Springfield, Illinois                   ;  39 47 58 N   ;  89 38 51 W   ; 185.9
Springfield, Massachusetts              ;  42  6 21 N   ;  72 35 32 W   ;  25.9
Springfield, Missouri                   ;  37 13  3 N   ;  93 17 32 W   ; 396.2
Springfield, Ohio                       ;  39 55 38 N   ;  83 48 29 W   ; 298.7
Stamford, Connecticut                   ;  41  3  9 N   ;  73 32 24 W   ;  10.7
Steubenville, Ohio                      ;  40 21 42 N   ;  80 36 53 W   ; 201.2
Stockholm, Sweden                       ;  59 35  0 N   ;  18  6  0 E   ;  -1.0
Stockton, California                    ;  37 57 30 N   ; 121 17 16 W   ;   6.1
Stuttgart, Germany                      ;  48 46  0 N   ;  09 11  0 E   ;  -1.0
Superior, Wisconsin                     ;  46 43 14 N   ;  92  6  7 W   ; 192.0
Sydney NSW, Australia                   ;  33 52  0 S   ; 151 12  0 E   ;   7.6
Syracuse, New York                      ;  43  3  4 N   ;  76  9 14 W   ; 121.9
Tacoma, Washington                      ;  47 14 59 N   ; 122 26 15 W   ;  33.5
Taipei, Taiwan                          ;  25  2  0 N   ; 121 31  0 E   ;  -1.0
Tallahassee, Florida                    ;  30 26 30 N   ;  84 16 56 W   ;  45.7
Tallinn, Estonia                        ;  59 27  0 N   ;  24 45  0 E   ;  -1.0
Tampa, Florida                          ;  27 56 58 N   ;  82 27 25 W   ;   4.6
Telescopio Nazionale Galileo            ;  28 46  0 N   ;  17 53  0 W   ;2400
Terre Haute, Indiana                    ;  39 28  3 N   ;  87 24 26 W   ; 151.2
Texarkana, Texas                        ;  33 25 48 N   ;  94  2 30 W   ;  98.8
Tokyo, Japan                            ;  35 45  0 N   ; 139 45  0 E   ;   9.1
Toledo, Ohio                            ;  41 39 14 N   ;  83 32 39 W   ; 208.5
Topeka, Kansas                          ;  39  3 16 N   ;  95 40 23 W   ; 283.5
Toronto Ontario, Canada                 ;  43 39 10 N   ;  79 23  0 W   ;  91.4
Torus Observatory			;  47 10 58 N	; 122  7 57 W	; 250
Trenton, New Jersey                     ;  40 13 14 N   ;  74 46 13 W   ;  10.7
Tromso, Norway                          ;  69 41  0 N   ;  18 95  0 E   ;  -1.0
Troy, New York                          ;  42 43 45 N   ;  73 40 58 W   ;  10.7
Tucson, Arizona                         ;  32 13 15 N   ; 110 58  8 W   ; 728.5
Tulsa, Oklahoma                         ;  36  9 12 N   ;  95 59 34 W   ; 245.1
U. S. Naval Observatory                 ;  38 55  0 N   ;  77  4  0 W   ;  92
United Kingdom Infrared Tel. (UKIRT)    ;  19 50  0 N   ; 155 28  0 W   ;4194
United Kingdom Schmidt Tel. Unit        ;  31 16  0 S   ; 149  4  0 E   ;1145
Univ. of BC and Laval Univ.             ;  49  7  0 N   ; 122 35  0 W   ;  50
Uppsala University Observatory          ;  59 30  0 N   ;  17 36  0 E   ;  33
Urbana, Illinois                        ;  40  6 42 N   ;  88 12  6 W   ; 221.0
Utica, New York                         ;  43  6 12 N   ;  75 13 33 W   ; 126.5
Vainu Bappu Observatory                 ;  12 35  0 N   ;  78 50  0 E   ; 725
Varna, Bulgaria                         ;  43 12  0 N   ;  27 57  0 E   ;  -1.0
Venezuela 1-meter Schmidt               ;   8 47  0 N   ;  70 52  0 W   ;3610
Versailles, France                      ;  48 50  0 N   ;  02  7  0 E   ;  -1.0
Victoria British Columbia, Canada       ;  48 30  0 N   ; 123 25  0 W   ;  -1.0
Vienna, Austria                         ;  48 12  0 N   ;  16 22  0 E   ;  -1.0
W. M. Keck Observatory                  ;  19 49  0 N   ; 155 28  0 W   ;4150
WIYN Observatory                        ;  31 57  0 N   ; 111 36  0 W   ;2089
WSHB, Cyprus Creek, South Carolina, USA ;  32 41  2 N   ;  81  7 51 W   ;  -1
Waco, Texas                             ;  31 33 12 N   ;  97  8  0 W   ; 123.4
Walla Walla, Washington                 ;  46  4  8 N   ; 118 20 24 W   ; 285.3
Warsaw, Poland                          ;  52 15  0 N   ;  21  0  0 E   ; 109.7
Washington, DC                          ;  38 53 51 N   ;  77  0 33 W   ;   7.6
Waterbury, Connecticut                  ;  41 33 13 N   ;  73  2 31 W   ;  79.2
Waterloo, Iowa                          ;  42 29 40 N   ;  92 20 20 W   ; 259.1
Wellington, New Zealand                 ;  41 17 25 S   ; 174 46  7 E   ;  -1.0
West Palm Beach, Florida                ;  26 42 36 N   ;  80  3  7 W   ;   4.6
Wheeling, West Virginia                 ;  40  4  3 N   ;  80 43 20 W   ; 198.1
White Plains, New York                  ;  41  2  0 N   ;  73 45 48 W   ;  67.1
Wichita Falls, Texas                    ;  33 54 34 N   ;  98 29 28 W   ; 288.0
Wichita, Kansas                         ;  37 41 30 N   ;  97 20 16 W   ; 393.2
Wilkes-Barre, Pennsylvania              ;  41 14 32 N   ;  75 53 17 W   ; 195.1
William Herschel Telescope              ;  28 46  0 N   ;  17 53  0 W   ;2332
Wilmington, Delaware                    ;  39 44 46 N   ;  75 32 51 W   ;  41.1
Wilmington, North Carolina              ;  34 14 14 N   ;  77 56 58 W   ;  10.7
Winer Mobile Observatory		;  31 39 53 N	; 110 36 03 W	;  1515
Winnipeg Manitoba, Canada               ;  49 50  0 N   ;  97  7  0 W   ;  -1.0
Winston-Salem, North Carolina           ;  36  5 52 N   ;  80 14 42 W   ; 262.1
Wollongong NSW, Australia               ;  34 24  0 S   ; 150 54  0 E   ;  -1.0
Worcester, Massachusetts                ;  42 15 37 N   ;  71 48 17 W   ; 144.8
Wyoming Infrared Observatory            ;  41  5 54 N   ; 105 58 36 W   ;2943
Yakima, Washington                      ;  46 36  9 N   ; 120 30 39 W   ; 323.1
Yerkes Observatory                      ;  42 34  0 N   ;  88 33  0 W   ; 334
Yonkers, New York                       ;  40 55 55 N   ;  73 53 54 W   ;   3.0
York, Pennsylvania                      ;  39 57 35 N   ;  76 43 36 W   ; 112.8
Youngstown, Ohio                        ;  41  5 57 N   ;  80 39  2 W   ; 256.0
Yuma, Arizona                           ;  32 42 54 N   ; 114 37 24 W   ;  48.8
Zagreb, Croatia                         ;  45 48 43 N   ;  15 58 52 E   ; 135
Zanesville, Ohio                        ;  39 56 18 N   ;  82  0 30 W   ; 219.5
Zentralinstitut fur Astrophysik         ;  52 23  0 N   ;  13  4  0 E   ; 107
Zurich, Switzerland                     ;  47 22 40 N   ;  08 33  4 E   ;  -1.0
