Status,OID,Name,Agency Representative,Abbreviation,Aliases,Operating Location,Expected Launch Date,Expected Mission End Date,Transmitting Frequency Bands,Special Request,Simulator,Family,Protocols,Other Protocols,Description,More Info,Requestor Contact,Requestor Organization,Notes,References,Created By,Creation date,Updated By,Update date
Assigned,1.3.112.4.7.1495,PVSAT,Dr. Sangil Ahn  [Korea Aerospace Research Institute],PVSAT,[],Near Earth,2022-05-30,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.390,1.3.112.4.1.43,,[],1.3.112.4.2.390,2021-05-21 05:15:36.814225+00:00,,2021-05-21 13:01:00.905188+00:00
Assigned,1.3.112.4.7.1524,SES-23,Dr Harald Ernst  [European Space Agency],SES-23,[],Near Earth,2023-07-01,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.374,1.3.112.4.1.98,,[],1.3.112.4.2.374,2021-07-30 07:44:13.570197+00:00,1.3.112.4.2.39,2021-08-07 18:25:45.666104+00:00
Assigned,1.3.112.4.7.1536,SARNext-C,Dr. Siamak Tafazoli  [Canadian Space Agency],SNC,[],Near Earth,2024-12-01,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.411,1.3.112.4.1.302,,[],1.3.112.4.2.411,2021-10-29 20:04:00.276583+00:00,1.3.112.4.2.29,2021-11-02 15:33:07.126808+00:00
Assigned,1.3.112.4.7.1528,KSF2-a,Dr Harald Ernst  [European Space Agency],KSF2-a,[],Near Earth,2022-01-01,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.172,1.3.112.4.1.146,,[],1.3.112.4.2.172,2021-10-27 07:10:29.293589+00:00,1.3.112.4.2.39,2021-11-02 18:04:34.014991+00:00
Assigned,1.3.112.4.7.1496,CAS500-4,Dr. Sangil Ahn  [Korea Aerospace Research Institute],CAS500-4,[],Near Earth,2025-02-28,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.390,1.3.112.4.1.43,,[],1.3.112.4.2.390,2021-05-21 07:27:19.593197+00:00,,2021-05-21 13:00:43.677176+00:00
Assigned,1.3.112.4.7.1537,QUBIK-3,Dr Harald Ernst  [European Space Agency],QUBIK-3,[],Near Earth,2022-01-22,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.405,1.3.112.4.1.301,,[],1.3.112.4.2.405,2021-11-02 15:18:34.121531+00:00,1.3.112.4.2.39,2021-11-02 18:03:26.828697+00:00
Assigned,1.3.112.4.7.1529,KSF2-b,Dr Harald Ernst  [European Space Agency],KSF2-b,[],Near Earth,2022-01-01,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.172,1.3.112.4.1.146,,[],1.3.112.4.2.172,2021-10-27 07:11:11.165464+00:00,1.3.112.4.2.39,2021-11-02 18:04:55.067759+00:00
Assigned,1.3.112.4.7.1525,UMBRA-02,Mrs. Lisa Cacciatore  [National Aeronautics and Space Administration],UMBRA-02,[],Near Earth,2021-12-31,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.404,1.3.112.4.1.293,,[],1.3.112.4.2.404,2021-07-30 21:30:53.721379+00:00,1.3.112.4.2.3,2021-12-09 21:47:59.776406+00:00
Assigned,1.3.112.4.7.1497,Sentinel-CO2M-A,Dr Harald Ernst  [European Space Agency],CO2A,[],Near Earth,2024-11-15,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.39,1.3.112.4.1.12,,[],1.3.112.4.2.39,2021-05-21 19:47:00.414649+00:00,,2021-05-25 14:53:35.552909+00:00
Assigned,1.3.112.4.7.1526,RApid Innovative payload demonstration SatellitE-3,Mr. Tsutomu Shigeta  [Japan Aerospace Exploration Agency],RAISE-3,[],Near Earth,2022-06,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.16,1.3.112.4.1.14,,[],1.3.112.4.2.16,2021-08-02 08:33:43.248508+00:00,,2021-08-02 12:50:26.981363+00:00
Assigned,1.3.112.4.7.1538,QUBIK-4,Dr Harald Ernst  [European Space Agency],QUBIK-4,[],Near Earth,2022-01-22,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.405,1.3.112.4.1.301,,[],1.3.112.4.2.405,2021-11-02 15:20:30.622023+00:00,1.3.112.4.2.39,2021-11-02 18:03:56.972490+00:00
Assigned,1.3.112.4.7.1530,KSF2-c,Dr Harald Ernst  [European Space Agency],KSF2-c,[],Near Earth,2022-01-01,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.172,1.3.112.4.1.146,,[],1.3.112.4.2.172,2021-10-27 07:11:49.574930+00:00,1.3.112.4.2.39,2021-11-02 18:05:14.634904+00:00
Assigned,1.3.112.4.7.129,FBM,Mr. Eduardo Bergamini  [Instituto Nacional de Pesquisas Espaciais],FBM,[],,2002-12,,TC: 2028.2 MHz;TLM: 2255.2 MHz;,,False,CCSDS Standard,[],[],,,1.3.112.4.2.15,1.3.112.4.1.13,,[],1.3.112.4.2.15,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:10.040255+00:00
Assigned,1.3.112.4.7.1498,Sentinel-CO2M-B,Dr Harald Ernst  [European Space Agency],CO2B,[],Near Earth,2026-02-15,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.39,1.3.112.4.1.12,,[],1.3.112.4.2.39,2021-05-21 19:52:20.729818+00:00,,2021-05-25 14:53:39.665548+00:00
Assigned,1.3.112.4.7.781,INMARSAT-6F1,Sylvain Teodomante  [Centre National d'Etudes Spatiales],INMARSAT-6F1,[],,2019-10-01,,TC: C and Ka Bands;TLM: C and Ka Bands;,Télécommunications geosationnary satellite.,False,CCSDS Standard,[],[],,,1.3.112.4.2.11,1.3.112.4.1.8,,[],1.3.112.4.2.11,2017-05-30 13:42:37.363846+00:00,1.3.112.4.2.3,2021-09-08 19:43:28.429570+00:00
Assigned,1.3.112.4.7.1531,KSF2-d,Dr Harald Ernst  [European Space Agency],KSF2-d,[],Near Earth,2022-01-01,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.172,1.3.112.4.1.146,,[],1.3.112.4.2.172,2021-10-27 07:12:40.327320+00:00,1.3.112.4.2.39,2021-11-02 18:05:38.136350+00:00
Assigned,1.3.112.4.7.1539,QUBIK-5,Dr Harald Ernst  [European Space Agency],QUBIK-5,[],Near Earth,2022-01-22,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.405,1.3.112.4.1.301,,[],1.3.112.4.2.405,2021-11-02 15:21:03.350787+00:00,1.3.112.4.2.39,2021-11-02 18:06:20.251699+00:00
Assigned,1.3.112.4.7.1499,Sentinel-CO2M-C,Dr Harald Ernst  [European Space Agency],CO2C,[],Near Earth,2026-10-01,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.39,1.3.112.4.1.12,,[],1.3.112.4.2.39,2021-05-21 19:55:10.279336+00:00,,2021-05-25 14:54:07.857316+00:00
Assigned,1.3.112.4.7.372,FY-4,Mr. Yonghui Huang  [China National Space Administration],FY-4,['FengYun-4'],,2016-01-01,,"TLM: 2247, 2270;",,False,CCSDS Standard,[],[],,,1.3.112.4.2.9,1.3.112.4.1.9,,[],1.3.112.4.2.9,2017-05-30 13:42:37.363846+00:00,1.3.112.4.2.3,2021-09-08 20:09:56.210823+00:00
Assigned,1.3.112.4.7.1532,QPS-SAR-3,Mr. Tsutomu Shigeta  [Japan Aerospace Exploration Agency],QPS-SAR-3,[],Near Earth,2022,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.16,1.3.112.4.1.14,,[],1.3.112.4.2.16,2021-10-28 02:19:05.900096+00:00,,2021-10-28 17:52:57.204624+00:00
Assigned,1.3.112.4.7.1540,QUBIK-6,Dr Harald Ernst  [European Space Agency],QUBIK-6,[],Near Earth,2022-01-22,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.405,1.3.112.4.1.301,,[],1.3.112.4.2.405,2021-11-02 15:22:32.636460+00:00,1.3.112.4.2.39,2021-11-02 18:04:12.773118+00:00
Assigned,1.3.112.4.7.1500,INS-2B,Mr Umang M Parikh  [Indian Space Research Organization],INS2B,[],Near Earth,2021-11-03,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.45,1.3.112.4.1.41,,[],1.3.112.4.2.45,2021-05-25 14:25:53.904342+00:00,,2021-05-25 14:54:44.206254+00:00
Assigned,1.3.112.4.7.1089,Dark Matter Particle Explore,Mr. Yonghui Huang  [China National Space Administration],Dark-Matter-Particle-Explore,['DAMPE'],,2015-01-01,,TLM: 8025-8400;,,False,CCSDS Standard,[],[],,,1.3.112.4.2.32,1.3.112.4.1.32,,[],1.3.112.4.2.32,2017-05-30 13:42:37.363846+00:00,1.3.112.4.2.3,2021-09-08 20:13:40.879203+00:00
Assigned,1.3.112.4.7.1533,QPS-SAR-4,Mr. Tsutomu Shigeta  [Japan Aerospace Exploration Agency],QPS-SAR-4,[],Near Earth,2022,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.16,1.3.112.4.1.14,,[],1.3.112.4.2.16,2021-10-28 02:32:34.756167+00:00,,2021-10-28 17:54:21.743276+00:00
Assigned,1.3.112.4.7.1541,OFX-1,Mrs. Lisa Cacciatore  [National Aeronautics and Space Administration],OFX-1,[],Near Earth,2022-08-01,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.380,1.3.112.4.1.145,,[],1.3.112.4.2.380,2021-11-04 16:44:40.712266+00:00,1.3.112.4.2.379,2021-11-04 20:06:43.265817+00:00
Assigned,1.3.112.4.7.1501,TRACERS-S1,Mrs. Lisa Cacciatore  [National Aeronautics and Space Administration],TRACERS-S1,[],Near Earth,2024-01-01,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.380,1.3.112.4.1.145,,[],1.3.112.4.2.380,2021-05-25 16:41:49.046882+00:00,1.3.112.4.2.379,2021-07-20 03:01:52.531744+00:00
Assigned,1.3.112.4.7.1527,Sirius/XM-9,Mrs. Lisa Cacciatore  [National Aeronautics and Space Administration],SiriusXM-9,[],Near Earth,2024-07-01,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.380,1.3.112.4.1.145,,[],1.3.112.4.2.380,2021-09-23 21:43:43.402893+00:00,1.3.112.4.2.379,2021-09-24 11:25:09.308861+00:00
Assigned,1.3.112.4.7.1534,QPS-SAR-5,Mr. Tsutomu Shigeta  [Japan Aerospace Exploration Agency],QPS-SAR-5,[],Near Earth,2022,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.16,1.3.112.4.1.14,,[],1.3.112.4.2.16,2021-10-28 02:39:09.332079+00:00,,2021-10-28 17:56:11.581756+00:00
Assigned,1.3.112.4.7.1542,SWFO-L1,Mrs. Lisa Cacciatore  [National Aeronautics and Space Administration],SWFO-L1,[],Near Earth,2025-02-01,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.380,1.3.112.4.1.145,,[],1.3.112.4.2.380,2021-11-10 19:53:20.934682+00:00,1.3.112.4.2.379,2021-11-10 22:29:45.118824+00:00
Assigned,1.3.112.4.7.356,"KOREASAT-5,Sim",Dr. Eunsup Sim  [Korea Aerospace Research Institute],KOREASAT-5Sim,[],,2006-05,,TC: none;TLM: none;,,True,CCSDS Standard,[],[],,,1.3.112.4.2.47,1.3.112.4.1.43,,[],1.3.112.4.2.47,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:13.124122+00:00
Assigned,1.3.112.4.7.1502,TRACERS-S2,Mrs. Lisa Cacciatore  [National Aeronautics and Space Administration],TRACERS-S2,[],Near Earth,2024-01-01,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.380,1.3.112.4.1.145,,[],1.3.112.4.2.380,2021-05-25 16:50:28.020043+00:00,1.3.112.4.2.379,2021-07-20 03:12:26.315504+00:00
Assigned,1.3.112.4.7.1535,QPS-SAR-6,Mr. Tsutomu Shigeta  [Japan Aerospace Exploration Agency],QPS-SAR-6,[],Near Earth,2022,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.16,1.3.112.4.1.14,,[],1.3.112.4.2.16,2021-10-28 02:43:20.239761+00:00,,2021-10-28 17:57:07.840904+00:00
Assigned,1.3.112.4.7.1543,LOTUSat-1,Mr. Tsutomu Shigeta  [Japan Aerospace Exploration Agency],LOTUSat-1,[],Near Earth,2023-2024,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.16,1.3.112.4.1.14,,[],1.3.112.4.2.16,2021-11-22 10:11:58.867765+00:00,,2021-11-29 11:12:38.634803+00:00
Assigned,1.3.112.4.7.394,CHINASAT9sim,Mr. Heping Zhao  [China Academy of Space Technology],CHINASAT9sim,[],,2007-07,,TC: NA - ground use only;TLM: NA - ground use only;,,True,CCSDS Standard,[],[],,,1.3.112.4.2.33,1.3.112.4.1.33,,[],1.3.112.4.2.33,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:13.621758+00:00
Assigned,1.3.112.4.7.1503,COSMO-SG-3,Mr. Massimo Calabrese  [Agenzia Spaziale Italiana],COSMO-SG-3,[],Near Earth,2024-02-29,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.26,1.3.112.4.1.5,,[],1.3.112.4.2.26,2021-06-04 08:22:51.202191+00:00,,2021-06-10 12:58:24.928691+00:00
Assigned,1.3.112.4.7.1544,ALE-3,Mr. Tsutomu Shigeta  [Japan Aerospace Exploration Agency],ALE-3,[],Near Earth,2023,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.16,1.3.112.4.1.14,,[],1.3.112.4.2.16,2021-11-22 10:20:45.256930+00:00,,2021-11-29 11:13:12.252776+00:00
Assigned,1.3.112.4.7.1504,COSMO-SG-4,Mr. Massimo Calabrese  [Agenzia Spaziale Italiana],COSMO-SG-4,[],Near Earth,2025-02-28,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.26,1.3.112.4.1.5,,[],1.3.112.4.2.26,2021-06-04 08:25:11.303526+00:00,,2021-06-10 13:05:02.443961+00:00
Assigned,1.3.112.4.7.1545,SPHERE-1,Mr. Tsutomu Shigeta  [Japan Aerospace Exploration Agency],SPHERE-1,[],Near Earth,2022-10,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.16,1.3.112.4.1.14,,[],1.3.112.4.2.16,2021-12-09 09:57:59.201702+00:00,,2021-12-09 14:17:18.829495+00:00
Assigned,1.3.112.4.7.492,AB7,Mr. Jean-Marc Soula  [Centre National d'Etudes Spatiales],AB7,[],,2011-Q4,,TC: Ku-Band;TLM: Ku-Band;,,False,CCSDS Standard,[],[],,,1.3.112.4.2.11,1.3.112.4.1.8,,[],1.3.112.4.2.11,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:15.187266+00:00
Assigned,1.3.112.4.7.1505,E36X,Sylvain Teodomante  [Centre National d'Etudes Spatiales],E36X,['E36X'],Near Earth,2023,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.396,1.3.112.4.1.8,,[],1.3.112.4.2.396,2021-06-16 07:46:07.014494+00:00,,2021-06-28 13:00:31.362614+00:00
Assigned,1.3.112.4.7.1546,LEV-1,Mr. Tsutomu Shigeta  [Japan Aerospace Exploration Agency],LEV-1,[],Near Earth,2022,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.16,1.3.112.4.1.14,,[],1.3.112.4.2.16,2021-12-10 10:07:24.318278+00:00,,2021-12-10 12:50:51.037056+00:00
Assigned,1.3.112.4.7.527,K-MILSAT1,Mr. Jean-Marc Soula  [Centre National d'Etudes Spatiales],K-MILSAT1,[],,2018-04-01,,TC: X or Ka band;TLM: X or Ka band;,,False,CCSDS Standard,[],[],,,1.3.112.4.2.11,1.3.112.4.1.8,,[],1.3.112.4.2.11,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:15.702724+00:00
Assigned,1.3.112.4.7.1547,TELKOMSAT HTS 113 BT,Dr Harald Ernst  [European Space Agency],SATMP-3,['Merah Putih 3'],Near Earth,2024-02-01,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.374,1.3.112.4.1.98,,[],1.3.112.4.2.374,2021-12-16 08:43:33.349949+00:00,1.3.112.4.2.39,2022-01-10 12:58:15.633568+00:00
Assigned,1.3.112.4.7.1548,KOMPSAT-7A,Dr. Sangil Ahn  [Korea Aerospace Research Institute],KOMPSAT-7A,[],Near Earth,2024-12-30,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.390,1.3.112.4.1.43,,[],1.3.112.4.2.390,2021-12-23 08:33:29.166186+00:00,,2022-01-05 10:16:37.164513+00:00
Assigned,1.3.112.4.7.1549,Near Earth Object Surveyor,Mr Richard Tseng  [National Aeronautics and Space Administration],NEOS,[],Near Earth,2026-03-23,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.418,1.3.112.4.1.19.2,,[],1.3.112.4.2.418,2022-01-03 17:09:07.376011+00:00,1.3.112.4.2.428,2022-01-31 13:35:03.357673+00:00
Assigned,1.3.112.4.7.1550,SES-24,Dr Harald Ernst  [European Space Agency],SES-24,['ASTRA 1P'],Near Earth,2024-07-01,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.374,1.3.112.4.1.98,,[],1.3.112.4.2.374,2022-01-07 10:44:38.332365+00:00,1.3.112.4.2.39,2022-01-10 12:57:26.779678+00:00
TBC,1.3.112.4.7.1551,Russian ISS Segment Service Module,Mr. Dmitry Barannikov  [State Space Corporation],SM,['Zvezda Service Module'],Near Earth,2000-07-12,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.55,1.3.112.4.1.285,,[],1.3.112.4.2.55,2022-01-20 07:56:09.819364+00:00,,2022-01-20 07:56:09.819399+00:00
Assigned,1.3.112.4.7.731,HOT BIRD 10,Nicolas Bobrinsky  [European Space Agency],HOT-BIRD-10,[],,2008-09,,TC: 13996.50 MHz;TLM: 11702.40 MHz;,,False,CCSDS Standard,[],[],Telecommunications Satellite,http://www.eutelsat.com/satellites/3_3.html,1.3.112.4.2.70,1.3.112.4.1.12,,[],1.3.112.4.2.70,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:18.694682+00:00
Assigned,1.3.112.4.7.1511,OPTUS 11,Sylvain Teodomante  [Centre National d'Etudes Spatiales],OPTUS11,['OPTUS11'],Near Earth,2023,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.396,1.3.112.4.1.8,,[],1.3.112.4.2.396,2021-06-25 09:14:15.600534+00:00,,2021-06-28 13:05:24.335636+00:00
Assigned,1.3.112.4.7.1552,Sunrise-Bebop,Mr Richard Tseng  [National Aeronautics and Space Administration],Sunrise-Bebop,[],Near Earth,2023-07-27,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.380,1.3.112.4.1.145,,[],1.3.112.4.2.380,2022-01-25 17:36:34.232524+00:00,1.3.112.4.2.428,2022-02-01 16:52:54.106631+00:00
Assigned,1.3.112.4.7.1512,INTELSAT 42,Sylvain Teodomante  [Centre National d'Etudes Spatiales],IS-42,['IS-42'],Near Earth,2023,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.396,1.3.112.4.1.8,,[],1.3.112.4.2.396,2021-06-25 14:27:09.223594+00:00,,2021-06-28 13:03:58.747642+00:00
Assigned,1.3.112.4.7.1553,SunRise-Edward,Mr Richard Tseng  [National Aeronautics and Space Administration],SunRise-Edward,[],Near Earth,2023-07-27,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.380,1.3.112.4.1.145,,[],1.3.112.4.2.380,2022-01-25 17:39:49.676299+00:00,1.3.112.4.2.428,2022-02-01 16:56:10.847563+00:00
Assigned,1.3.112.4.7.1513,INTELSAT 43,Sylvain Teodomante  [Centre National d'Etudes Spatiales],IS-43,['IS-43'],Near Earth,2023,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.396,1.3.112.4.1.8,,[],1.3.112.4.2.396,2021-06-25 14:31:41.111155+00:00,,2021-06-28 13:02:21.658737+00:00
Assigned,1.3.112.4.7.1554,SunRise-EIN,Mr Richard Tseng  [National Aeronautics and Space Administration],SunRise-EIN,[],Near Earth,2023-07-27,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.380,1.3.112.4.1.145,,[],1.3.112.4.2.380,2022-01-25 17:42:50.699112+00:00,1.3.112.4.2.428,2022-02-01 16:57:19.492697+00:00
Assigned,1.3.112.4.7.1514,SUPERBIRD 9,Sylvain Teodomante  [Centre National d'Etudes Spatiales],SB9,['SB9'],Near Earth,2024,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.396,1.3.112.4.1.8,,[],1.3.112.4.2.396,2021-06-25 14:36:04.512846+00:00,,2021-06-28 13:01:40.291050+00:00
Assigned,1.3.112.4.7.1555,SunRise-FAYE,Mr Richard Tseng  [National Aeronautics and Space Administration],SunRise-FAYE,[],Near Earth,2023-07-27,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.380,1.3.112.4.1.145,,[],1.3.112.4.2.380,2022-01-25 17:45:52.171534+00:00,1.3.112.4.2.428,2022-02-01 16:58:39.683379+00:00
Assigned,1.3.112.4.7.1515,Arctic Weather Satellite,Dr Harald Ernst  [European Space Agency],AWS1,['AWS'],Near Earth,2024-03-31,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.39,1.3.112.4.1.12,,[],1.3.112.4.2.39,2021-07-01 17:25:05.889742+00:00,,2021-07-06 13:39:46.043917+00:00
Assigned,1.3.112.4.7.1556,SunRise-JET,Mr Richard Tseng  [National Aeronautics and Space Administration],SunRise-JET,[],Near Earth,2023-07-27,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.380,1.3.112.4.1.145,,[],1.3.112.4.2.380,2022-01-25 17:53:52.591130+00:00,1.3.112.4.2.428,2022-02-01 16:59:30.029234+00:00
Assigned,1.3.112.4.7.1516,StriX-b,Mr. Tsutomu Shigeta  [Japan Aerospace Exploration Agency],StriX-b,[],Near Earth,2021,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.16,1.3.112.4.1.14,,[],1.3.112.4.2.16,2021-07-09 08:14:15.164726+00:00,,2021-07-09 19:31:08.610853+00:00
Assigned,1.3.112.4.7.1557,SunRise-SPIKE,Mr Richard Tseng  [National Aeronautics and Space Administration],SunRise-SPIKE,[],Near Earth,2023-07-27,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.380,1.3.112.4.1.145,,[],1.3.112.4.2.380,2022-01-25 17:55:48.279739+00:00,1.3.112.4.2.428,2022-02-01 17:00:36.178768+00:00
Assigned,1.3.112.4.7.967,"ROCSAT3,FI6",Mr. Shan-Kuo Yang  [National Space Organization],ROCSAT3FI6,[],,2005,,TC: 2039.5 MHz;TLM: 2215 MHz;,,False,CCSDS Standard,[],[],,,1.3.112.4.2.107,1.3.112.4.1.46,,[],1.3.112.4.2.107,2017-05-30 13:42:37+00:00,1.3.112.4.2.2,2021-05-14 17:58:22.135434+00:00
Assigned,1.3.112.4.7.1517,DESTINY PLUS,Mr. Tsutomu Shigeta  [Japan Aerospace Exploration Agency],DESTINY PLUS,[],Deep Space,2024,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.16,1.3.112.4.1.14,,[],1.3.112.4.2.16,2021-07-13 02:10:35.636899+00:00,,2021-07-16 13:25:40.013462+00:00
TBC,1.3.112.4.7.1558,Service Module Zvezda,Mr. Dmitry Barannikov  [State Space Corporation],SM Zvezda,[],Near Earth,2000-07-12,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.55,1.3.112.4.1.285,,[],1.3.112.4.2.55,2022-01-27 09:44:56.122229+00:00,,2022-01-27 09:44:56.122271+00:00
Assigned,1.3.112.4.7.1518,KASI_SAT-A,Dr. Sangil Ahn  [Korea Aerospace Research Institute],KASI_SAT-A,[],Near Earth,2022-02-28,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.390,1.3.112.4.1.43,,[],1.3.112.4.2.390,2021-07-14 02:26:23.631753+00:00,,2021-07-16 13:32:07.946212+00:00
Assigned,1.3.112.4.7.9,SBSS,Roger D. Porter  [NASA Goddard Space Flight Center],SBSS,[],,,,"TC: 1764.361 MHz;TLM: 2203.3 MHz, 8065.0 MHz;",,False,CCSDS Standard,[],[],Space-Based Space Surveillance,,1.3.112.4.2.63,1.3.112.4.1.19.1,,[],1.3.112.4.2.63,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:08.435295+00:00
Assigned,1.3.112.4.7.1519,KASI_SAT-B,Dr. Sangil Ahn  [Korea Aerospace Research Institute],KASI_SAT-B,[],Near Earth,2022-02-28,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.390,1.3.112.4.1.43,,[],1.3.112.4.2.390,2021-07-14 02:30:28.408758+00:00,,2021-07-16 13:36:18.919813+00:00
Assigned,1.3.112.4.7.1520,KASI_SAT-C,Dr. Sangil Ahn  [Korea Aerospace Research Institute],KASI_SAT-C,[],Near Earth,2022-02-28,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.390,1.3.112.4.1.43,,[],1.3.112.4.2.390,2021-07-14 02:33:28.937354+00:00,,2021-07-16 13:39:40.953742+00:00
Assigned,1.3.112.4.7.1521,KASI_SAT-D,Dr. Sangil Ahn  [Korea Aerospace Research Institute],KASI_SAT-D,[],Near Earth,2022-02-28,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.390,1.3.112.4.1.43,,[],1.3.112.4.2.390,2021-07-14 02:35:28.409452+00:00,,2021-07-16 13:44:47.389452+00:00
Assigned,1.3.112.4.7.13,METOP-SIM,Hans K. Uhrig  [European Space Agency],METOP-SIM,[],,,,TC: S-Band;TLM: S-Band;,,True,CCSDS Standard,[],[],,,1.3.112.4.2.61,1.3.112.4.1.12,,[],1.3.112.4.2.61,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:08.488182+00:00
Assigned,1.3.112.4.7.1522,IMAP,Mrs. Lisa Cacciatore  [National Aeronautics and Space Administration],IMAP,[],Near Earth,2025-02-01,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.380,1.3.112.4.1.145,,[],1.3.112.4.2.380,2021-07-19 15:10:56.150714+00:00,1.3.112.4.2.3,2021-09-09 20:05:27.861722+00:00
Assigned,1.3.112.4.7.10,METOP1,Hans K. Uhrig  [European Space Agency],METOP1,[],,,,TC: S-Band;TLM: S-Band;,,False,CCSDS Standard,[],[],Meteorological Operational Satellite,http://www.esa.int/esaLP/LPmetop.html,1.3.112.4.2.61,1.3.112.4.1.12,,[],1.3.112.4.2.61,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:08.449412+00:00
Assigned,1.3.112.4.7.1348,ASBM-1,Mrs. Lisa Cacciatore  [National Aeronautics and Space Administration],ASBM-1,[],Near Earth,2023-02-26,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.125,1.3.112.4.1.80,,[],1.3.112.4.2.125,2019-10-28 15:36:12.935468+00:00,1.3.112.4.2.3,2021-07-19 20:24:42.302752+00:00
Assigned,1.3.112.4.7.3,ERS-2,Hans K. Uhrig  [European Space Agency],ERS-2,[],,,,"TLM: 1S-Band (Housekeeping), 1X-Band (IDHT Low Rate), 1X-Band (IDHT High Rate);",,False,CCSDS Standard,[],[],ESA Remote Sensing Satellite 2,http://earth.esa.int/ers/,1.3.112.4.2.61,1.3.112.4.1.12,,[],1.3.112.4.2.61,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:08.343398+00:00
Assigned,1.3.112.4.7.1523,Technology Demonstration Spacecraft - 01,Mr Umang M Parikh  [Indian Space Research Organization],TDS-01,[],Near Earth,2022-03-29,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.45,1.3.112.4.1.41,,[],1.3.112.4.2.45,2021-07-22 03:37:06.517070+00:00,,2021-07-22 18:03:27.873592+00:00
Provisional,1.3.112.4.7.1231,STRV-1 A,Dr Peter M. Allan  [United Kingdom Space Agency],STRV-1-A,[],,1994 - 06,,,,False,CCSDS Standard,[],[],Space Technology Research Vehicle 1A,,,,,[],,2018-02-06 21:59:37.584909+00:00,,2021-05-14 17:58:26.223823+00:00
