Status,OID,Name,Agency Representative,Abbreviation,Aliases,Operating Location,Expected Launch Date,Expected Mission End Date,Transmitting Frequency Bands,Special Request,Simulator,Family,Protocols,Other Protocols,Description,More Info,Requestor Contact,Requestor Organization,Notes,References,Created By,Creation date,Updated By,Update date
Assigned,1.3.112.4.7.225,"MARSOBSERVER,Sim",D. Costa  [National Aeronautics and Space Administration],MARSOBSERVERSim,[],,1990-08,,TC: X-Band;TLM: X-Band;,,True,CCSDS Standard,[],[],,,1.3.112.4.2.124,1.3.112.4.1.19.2,,[],1.3.112.4.2.124,2017-05-30 13:42:37+00:00,,2021-05-14 17:58:11.332768+00:00
Assigned,1.3.112.4.7.226,GRAIL-B,Roger D. Porter  [NASA Goddard Space Flight Center],GRAIL-B,[],,,,TC: S-Band 2100.525 MHz;,,False,CCSDS Standard,[],[],Gravity Recovery and Interior Laboratory,http://science.nasa.gov/headlines/y2008/22may_grail.htm,1.3.112.4.2.63,1.3.112.4.1.19,,[],1.3.112.4.2.63,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.345477+00:00
Assigned,1.3.112.4.7.227,SWAS,James N. Scott  [NASA Goddard Space Flight Center],SWAS,[],Near Earth,,,TC: 2215 MHz;TLM: 2215 MHz;,,False,CCSDS Standard,[],[],Sub-millimeter Wave Astronomy Satellite,http://lambda.gsfc.nasa.gov/product/swas/,1.3.112.4.2.65,1.3.112.4.1.19,,[],1.3.112.4.2.65,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.358104+00:00
Assigned,1.3.112.4.7.228,HUYGENS,Hans K. Uhrig  [European Space Agency],HUYGENS,[],,,,TLM: 2097.916073 MHz; 2040.000000 MHz;,,False,CCSDS Standard,[],[],,http://www.esa.int/SPECIALS/Cassini-Huygens/,1.3.112.4.2.61,1.3.112.4.1.12,,[],1.3.112.4.2.61,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.370319+00:00
Assigned,1.3.112.4.7.229,GOSAT,Junjiro Nakahara  [Japan Aerospace Exploration Agency],GOSAT,[],,2008,,TC: 2044.25 MHz;TLM: 2044.25 MHz;,,False,CCSDS Standard,[],[],Greenhouse Gases Observing Satellite,http://www.jaxa.jp/projects/sat/gosat/index_e.html,1.3.112.4.2.87,1.3.112.4.1.14,,[],1.3.112.4.2.87,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.382594+00:00
Assigned,1.3.112.4.7.230,SOLAR PROBE,Badri Younes  [NASA Goddard Space Flight Center],SOLAR-PROBE,[],,,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.69,1.3.112.4.1.19.1,,[],1.3.112.4.2.69,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.395012+00:00
Assigned,1.3.112.4.7.231,Solar Probe Plus,Mr. Scott Galbraith  [National Aeronautics and Space Administration],Solar-Probe-Plus,['SPP'],,2018-01-01,,TC: Deep Space X-band and Ka-band;TLM: Deep Space X-band and Ka-band;,"URGENT: This request is specific for ""0BB"" in order to restore a previous assignment which was mistakenly released due to misinformation supplied to NASA Spectrum. Mission name was revised from original issuance.",False,CCSDS Standard,[],[],,,1.3.112.4.2.50,1.3.112.4.1.19,,[],1.3.112.4.2.50,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.408043+00:00
Assigned,1.3.112.4.7.232,NI-ALPHA 310,Nicolas Bobrinsky  [European Space Agency],NI-ALPHA-310,[],,2002-08,,TC: 6173.700 MHz;TLM: 3947.500;,,False,CCSDS Standard,[],[],,,1.3.112.4.2.1,1.3.112.4.1.85,,[],1.3.112.4.2.1,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.420622+00:00
Assigned,1.3.112.4.7.234,Solar Probe Plus SIM,Mr. Scott Galbraith  [National Aeronautics and Space Administration],Solar-Probe-Plus-SIM,[],,2018-01-01,,TC: Deep Space X-band and Ka-band;TLM: Deep Space X-band and Ka-band;,"URGENT: This request is specific for ""0BD"" in order to restore a previous assignment which was mistakenly released due to misinformation supplied to NASA Spectrum. Mission name was revised from original issuance.",True,CCSDS Standard,[],[],,,1.3.112.4.2.50,1.3.112.4.1.19,,[],1.3.112.4.2.50,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.447007+00:00
Assigned,1.3.112.4.7.235,SPACE INTFER,Badri Younes  [NASA Goddard Space Flight Center],SPACE-INTFER,[],,,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.69,1.3.112.4.1.19.1,,[],1.3.112.4.2.69,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.460099+00:00
Assigned,1.3.112.4.7.236,"SPACE INTFER,SIM",Badri Younes  [NASA Goddard Space Flight Center],SPACE-INTFERSIM,[],,,,,,True,CCSDS Standard,[],[],,,1.3.112.4.2.69,1.3.112.4.1.19.1,,[],1.3.112.4.2.69,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.473189+00:00
Assigned,1.3.112.4.7.237,SUPERBIRD 7,Junjiro Nakahara  [Japan Aerospace Exploration Agency],SUPERBIRD-7,[],,2008-01,,"TC: 14.4975 GHz, 14.4995 GHz;",,False,CCSDS Standard,[],[],Telecommunications Satellite,,1.3.112.4.2.87,1.3.112.4.1.14,,[],1.3.112.4.2.87,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.486621+00:00
Assigned,1.3.112.4.7.238,XMM,Hans K. Uhrig  [European Space Agency],XMM,[],,,,TC: 2.2226 GHz;TLM: 2.2226 GHz;,,False,CCSDS Standard,[],[],X-ray Multi-mirror Mission,http://sci.esa.int/science-e/www/area/index.cfm?fareaid=23,1.3.112.4.2.61,1.3.112.4.1.12,,[],1.3.112.4.2.61,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.499686+00:00
Assigned,1.3.112.4.7.239,XMM(SIM),Hans K. Uhrig  [European Space Agency],XMMSIM,[],,,,,,True,CCSDS Standard,[],[],,,1.3.112.4.2.61,1.3.112.4.1.12,,[],1.3.112.4.2.61,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.513028+00:00
Assigned,1.3.112.4.7.240,MESURpathfinder,James N. Scott  [NASA Goddard Space Flight Center],MESURpathfinder,[],Deep Space,,,TC: 8400-8450 MHz;TLM: 8400-8450 MHz;,,False,CCSDS Standard,[],[],,,1.3.112.4.2.65,1.3.112.4.1.19,,[],1.3.112.4.2.65,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.525451+00:00
