Air.KAO         Kuiper Airborne Observatory 
LO.NICKEL       Lick Observatory/Nickel Telescope 
LO.PT           Lowell Observatory/Perkins Telescope 
LO.SHANE        Lick Observatory/Shane Telescope 
McD.0.8m        McDonald Observatory/0.8 meter Telescope 
McD.HET         McDonald Observatory/HET, Hobby-Eberly Telescope 
McD.HST         McDonald Observatory/Harlan Smith Telescope 
McD.OST         McDonald Observatory/Otto Sturve Telescope 
MGIO.HHT        Mount Graham International Observatory/HHT, Heinrich Hertz Submillimeter Telescope 
MGIO.VATT       Mount Graham International Observatory/VATT, Vatican Advanced Technology Telescope 
MGRO.MT         Milagro Gamma Ray Observatory/Milagrito Telescope 
MK.CFHT         Mauna Kea/CFHT, Canada-France-Hawaii Telescope 
MK.CSO          Mauna Kea/CSO, Caltech Submillimeter Observatory 
MK.GEMININ      Mauna Kea/Gemini North Telescope 
MK.IRTF         Mauna Kea/IRTF, Infrared Telescope Facility 
MK.JCMT         Mauna Kea/JCMT, James Clerk Maxwell Telescope 
MK.KECK1        Mauna Kea/KECK I Telescope 
MK.KECK2        Mauna Kea/KECK II Telescope 
MK.SMA          Mauna Kea/Smithsonian Millimeter Array 
MK.SUBARU       Mauna Kea/Subaru Telescope 
MK.UHT          Mauna Kea/University of Hawaii Telescope
MK.UKIRT        Mauna Kea/UKIRT, United Kingdom Infrared Telescope
ML.HAO          Mauna Loa/HAO, High Altitude Observatory Telescopee
MO.MOST         Molonglo Observatory/MOST, Molonglo Observatory Synthesis Telescope
MO.MRT          Mauritius Observatory/Mauritius Radio Telescope 
MPIR.ERT        Max Planck Institut fur Radioastronomie/ERT, Effelsberg Radio Telescope 
MRAO.CLFST      Mullard Radio Astronomy Observatory/CLFST, Cambridge Low-Frequency Sythesis Telescope 
MRAO.COAST      Mullard Radio Astronomy Observatory/COAST, Cambridge Optical Aperture Synthesis Telescope 
MRAO.RT         Mullard Radio Astronomy Observatory/Ryle Telescope 
MRO.14m         Metsahovi Radio Observatory/14 meter Radio Telescope 
MtL.KT          Mount Lemmon/Kuiper Telescope 
MtL.NT          Mount Lemmon/NASA Telescope 
MtPO.14m        Mount Pleasant Radio Observatory/14 meter telescope
MtPO.26m        Mount Pleasant Radio Observatory/26 meter telescope
MtS.50in        Mount Stromolo/50 inch Telescope 
MtS.74in        Mount Stromolo/74 inch Telescope 
MtW.60fST       Mount Wilson/60 foot Solar Tower 
MtW.60in        Mount Wilson/60 inch Telescope 
MtW.CHARA       Mount Wilson/CHARA, Center for High Angular Resolution Astronomy interferometer
MtW.HT          Mount Wilson/Hooker Telescope 
MtW.ISI         Mount Wilson/Infrared Spatial Interferometer
MtW.MIII        Mount Wilson/Mark III Interferometer 
NAIC.ARECIBO    National Astronomy and Ionospheric Center/Arecibo observatory
NCRA.GMRT       National Center for Radio Astrophysics/GMRT, Giant Meter-wave Radio Telescope 
NCRA.ORT        National Center for Radio Astrophysics/ORT, Ooty Radio Telescope
NRAO.140ft      National Radio Astronomy Observatory/Green Bank 140 foot Telescope 
NRAO.GBI        National Radio Astronomy Observatory/Green Bank Interferometer 
NRAO.GBT        National Radio Astronomy Observatory/Green Bank Telescope 
NRAO.VLA        National Radio Astronomy Observatory/VLA, Very Large Array 
NRAO.VLBA       National Radio Astronomy Observatory/VLBA, Very Long Baseline Array 
NSTTF.STACEE    National Solar Thermal Test Facility/STACEE, Solar Tower Atmospheric Cerenkov Effect Experiment 
OAGH.2m         Observatorio Astrofisico Guillermo Haro/2 meter telescope 
